Latitude,Longitude,ชื่อสำนักงานเขต
13.7424465,100.586054,สำนักงานเขตวัฒนา
13.7591307,100.5342104,สำนักงานเขตราชเทวี
13.7798317,100.5425982,สำนักงานเขตพญาไท
13.7766222,100.5793542,สำนักงานเขตห้วยขวาง
13.7641955,100.6058171,สำนักงานเขตวังทองหลาง
13.8733871,100.5960769,สำนักงานเขตบางเขน
13.7648878,100.4987564,สำนักงานเขตพระนคร
13.7081395,100.5837062,สำนักงานเขตคลองเตย
13.7024601,100.602014,สำนักงานเขตพระโขนง
13.8286689,100.5599649,สำนักงานเขตจตุจักร
13.8035054,100.6073947,สำนักงานเขตลาดพร้าว
13.7302011,100.6513761,สำนักงานเขตสวนหลวง
13.8874875,100.5789384,สำนักงานเขตหลักสี่
13.7939037,100.505066,สำนักงานเขตบางพลัด
13.770777,100.4680679,สำนักงานเขตบางกอกน้อย
13.7079734,100.5263191,สำนักงานเขตสาทร
13.6961735,100.4092082,สำนักงานเขตบางแค
13.7771476,100.5205822,สำนักงานเขตดุสิต
13.681169,100.5921107,สำนักงานเขตบางนา
13.8095412,100.5372298,สำนักงานเขตบางซื่อ
13.7305435,100.5092519,สำนักงานเขตคลองสาน
13.9099604,100.5946798,สำนักงานเขตดอนเมือง
13.7447578,100.5221591,สำนักงานเขตปทุมวัน
13.6929471,100.5025396,สำนักงานเขตบางคอแหลม
13.7853451,100.6696236,สำนักงานเขตบึงกุ่ม
13.7656562,100.6476572,สำนักงานเขตบางกะปิ
13.722357,100.7597523,สำนักงานเขตลาดกระบัง
13.7581428,100.5130792,สำนักงานเขตป้อมปราบศัตรูพ่าย
13.7306738,100.5234838,สำนักงานเขตบางรัก
13.7249292,100.4858181,สำนักงานเขตธนบุรี
13.7315476,100.5139127,สำนักงานเขตสัมพันธวงศ์
13.633944,100.3688808,สำนักงานเขตบางบอน
13.7689109,100.6857041,สำนักงานเขตสะพานสูง
13.6819403,100.5058019,สำนักงานเขตราษฎร์บูรณะ
13.7993035,100.6826801,สำนักงานเขตคันนายาว
13.7172432,100.6946855,สำนักงานเขตประเวศ
13.7232866,100.4762878,สำนักงานเขตบางกอกใหญ่
13.6774507,100.4842307,สำนักงานเขตจอมทอง
13.8135273,100.7313091,สำนักงานเขตมีนบุรี
13.6962282,100.5423893,สำนักงานเขตยานนาวา
13.7053687,100.3491997,สำนักงานเขตหนองแขม
13.8599755,100.7041948,สำนักงานเขตคลองสามวา
13.6607557,100.4353809,สำนักงานเขตบางขุนเทียน
13.8951535,100.660503,สำนักงานเขตสายไหม
13.8555609,100.8625106,สำนักงานเขตหนองจอก
13.7767307,100.4565104,สำนักงานเขตตลิ่งชัน
13.7729378,100.353125,สำนักงานเขตทวีวัฒนา
13.7626406,100.5552864,สำนักงานเขตดินแดง
13.7147943,100.4369325,สำนักงานเขตภาษีเจริญ
13.611517,100.5085183,สำนักงานเขตทุ่งครุ
,,
