park_name,lat,lng
สวนลุมพินี,13.73131802,100.5414322
สวนบางแคภิรมย์,13.68175579,100.3853439
สวนสราญรมย์,13.74820769,100.4952236
สวนรมณีนาถ,13.74894002,100.5026353
สวนสาธารณะสันติชัยปราการ,13.76411394,100.4957407
สวนเทียนทะเลพัฒนาพฤกษาภิรมย์,13.61454562,100.4408032
สวนจตุจักร,13.80852786,100.5563026
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ,13.80657583,100.5505181
สวนวชิรเบญจทัศ,13.81271097,100.5537682
สวนเฉลิมพระเกียรติระบาทสมเด็จพระเจ้าอยู่หัว7รอบ,13.64148206,100.395221
สวนเสรีไทย,13.78625934,100.6727296
สวนนวมินทร์ภิรมย์,13.7810769,100.657184
สวนหลวง ร.9,13.6882992,100.6630679
สวนสาธารณะศูนย์กีฬาบึงหนองบอน,13.69071845,100.6635379
สวนวนธรรม,13.68301858,100.6566154
สวน 50 พรรษา มหาจักรีสิรินธร,13.67649401,100.6778859
สวนสันติภาพ,13.76174808,100.5408082
สวนรมณีย์ทุ่งสีกัน,13.92915328,100.5678417
สวนวารีภิรมย์,13.84936782,100.7753961
สวนกีฬารามอินทรา,13.87851828,100.6202373
สวนวัชราภิรมย์,13.85209592,100.6395085
สวนสาธารณะเฉลิมพระเกียรติ 6รอบพระชนมพรรษา,13.68565402,100.5176159
สวนพระนคร,13.71940099,100.7811631
สวน60พรรษาสมเด็จพระบรมราชินีนาถ,13.76324972,100.7324495
สวนวนาภิรมย์ร่มเกล้า,13.75532962,100.7455953
อุทยานเบญจสิริ,13.73053085,100.5673908
สวนเบญจกิติ,13.73062624,100.5580341
สวนธนบุรีรมย์,13.65205982,100.491399
สวนทวีวนารมย์,13.74435749,100.3526325
สวนหลวงพระราม8,13.768864,100.4950218
สวนจรัญภิรมย์,13.77533203,100.4912434
สวนสาธารณะเฉลิมพระเกียรติพระบาทสมเด็จฯ80พรรษา,13.71862035,100.5424773
สวนหนองจอก,13.85279651,100.858987
สวนราษฎร์ภิรมย์,13.79930277,100.8825324
สวนสิรินธราพฤกษาพรรณ,13.74788833,100.4640859
สวนเฉลิมพระเกียรติ80พรรษาพระบาทฯบางกอกน้อย,13.7728635,100.4688191
สวนสาธารณะบึงน้ำลาดพร้าว 71,13.81813729,100.6121881
สวนพระยาภิรมย์,13.82461584,100.7585598
สวนสิริภิรมย์,13.82550745,100.7514261
สวนวิภาภิรมณ์,13.80096199,100.5620146
สวนวัดหัวลำโพงรุกขนิเวศน์,13.73133935,100.5292825
สวนสันติพร,13.75842079,100.4954641
สวนทวีกาญจนาภิเษก,13.75409838,100.4050871
สวนปิยะภิรมย์,13.75150549,100.6445111
สวนนาคราภิรมย์,13.74689193,100.490083
สวนบึงกระเทียม,13.80780451,100.7086298
สวนสนามไชย,13.74240953,100.494373
